Average User Rating,User Rating Count,Price,Primary Genre,Genres,,,,,,,,,,,,,
4,532,0.99,Games,"Games, Simulation, Entertainment, Strategy",,,,,,,,,,,,,
2,18,0,Games,"Games, Strategy, Puzzle, Entertainment",,,,,,,,,,,,,
4,836,0,Games,"Games, Education, Board, Strategy",,,,,,,,,,,,,
3.5,13618,0,Games,"Games, Lifestyle, Simulation, Strategy",,,,,,,,,,,,,
4,64,0.99,Games,"Games, Puzzle, Strategy, Entertainment",,,,,,,,,,,,,
4,184,0.99,Games,"Games, Strategy, Entertainment, Casual",,,,,,,,,,,,,
2.5,310,0,Games,"Games, Entertainment, Strategy, Puzzle",,,,,,,,,,,,,
3.5,92,2.99,Games,"Games, Entertainment, Board, Strategy",,,,,,,,,,,,,
3.5,324,0,Games,"Games, Strategy, Puzzle",,,,,,,,,,,,,
3.5,1736,0,Games,"Games, Action, Strategy",,,,,,,,,,,,,
2.5,1377,0,Games,"Games, Puzzle, Entertainment, Strategy",,,,,,,,,,,,,
2,6,0.99,Games,"Games, Strategy, Board",,,,,,,,,,,,,
3.5,96,0,Games,"Games, Social Networking, Simulation, Strategy",,,,,,,,,,,,,
3.5,1739,0,Games,"Games, Strategy, Simulation",,,,,,,,,,,,,
4,1009,0,Games,"Games, Board, Lifestyle, Strategy",,,,,,,,,,,,,
2,602,0,Entertainment,"Entertainment, Strategy, Games, Puzzle",,,,,,,,,,,,,
4,1335,2.99,Games,"Games, Entertainment, Strategy, Puzzle",,,,,,,,,,,,,
3,86,0,Games,"Games, Strategy, Entertainment, Puzzle",,,,,,,,,,,,,
3.5,37350,0,Games,"Games, Strategy, Role Playing, Entertainment",,,,,,,,,,,,,
2,119,0,Games,"Games, Board, Education, Strategy",,,,,,,,,,,,,
3,1229,0,Medical,"Medical, Adventure, Strategy, Games",,,,,,,,,,,,,
3,1229,0,Medical,"Medical, Adventure, Strategy, Games",,,,,,,,,,,,,
3.5,14,0,Games,"Games, Board, Strategy",,,,,,,,,,,,,
4,342,0,Games,"Games, Action, Strategy",,,,,,,,,,,,,
3,254,0,Games,"Games, Casual, Strategy",,,,,,,,,,,,,
4.5,10311,0,Games,"Games, Strategy, Card, Entertainment",,,,,,,,,,,,,
2.5,319,0.99,Games,"Games, Simulation, Entertainment, Strategy",,,,,,,,,,,,,
4,98,2.99,Games,"Games, Strategy, Entertainment, Card",,,,,,,,,,,,,
3,49,0,Games,"Games, Entertainment, Strategy, Puzzle",,,,,,,,,,,,,
3.5,307,0,Games,"Games, Action, Strategy",,,,,,,,,,,,,
3,41,2.99,Games,"Games, Simulation, Entertainment, Strategy",,,,,,,,,,,,,
3,11,0,Games,"Games, Role Playing, Strategy, Entertainment",,,,,,,,,,,,,
1.5,200,0,Games,"Games, Board, Strategy, Entertainment",,,,,,,,,,,,,
4.5,9908,4.99,Games,"Games, Entertainment, Action, Strategy",,,,,,,,,,,,,
3,124,0,Entertainment,"Entertainment, Games, Puzzle, Strategy",,,,,,,,,,,,,
,,1.99,Games,"Games, Strategy, Board, Entertainment",,,,,,,,,,,,,
3.5,6381,0,Games,"Games, Entertainment, Action, Strategy",,,,,,,,,,,,,
5,37,0.99,Games,"Games, Strategy, Puzzle, Education",,,,,,,,,,,,,
3.5,1456,0,Games,"Games, Board, Entertainment, Strategy",,,,,,,,,,,,,
,,1.99,Sports,"Sports, Games, Strategy, Sports",,,,,,,,,,,,,
2.5,272,0.99,Games,"Games, Strategy, Entertainment, Puzzle",,,,,,,,,,,,,
